exp_name,T(K),Hc2(T),Hc2_error
TS1,0.37165,4.33058,
TS1,0.47988,4.33058,
TS1,0.58812,4.28378,
TS1,0.72281,4.26038,
TS1,0.92244,4.21358,
TS1,1.33854,4.05813,
TS1,1.99035,3.72717,
TS1,2.49785,3.25914,
TS1,2.99813,2.79446,
TS1,3.48879,2.25623,26.01694
TS1,3.98907,1.72302,21.03
TS1,4.49898,0.95245,22.336
TS1,4.98964,0.44431,19.88013
TS2,1.18942,4.31888,
TS2,1.5983,4.13836,
TS2,2.49785,3.51321,
TS2,2.98851,3.10703,
TS2,3.78944,2.14591,7.82813
TS2,3.99869,1.92026,7.2142
TS2,4.29934,1.58428,6.792265
TS2,4.69861,1.03937,5.60287
TS2,4.98964,0.58806,4.75847
TS3,1.19663,3.88429,
TS3,1.58868,3.79068,
TS3,2.48101,3.20565,
TS3,2.99813,2.69083,
TS3,3.79906,1.74642,7.712865
TS3,3.99869,1.46226,9.476535
TS3,4.28972,1.12629,8.44207
TS3,4.69861,0.50615,8.82613
TS3,4.99926,0.17018,1.53225
TS4,1.20625,3.94279,
TS4,1.5983,3.61183,
TS4,2.49785,2.98,
TS4,2.99813,2.42338,
TS4,3.80628,1.49736,10.17
TS4,3.99869,1.21822,9.0964
TS4,4.30656,0.87723,8.901065
TS4,4.70582,0.21197,9.362
TS4,4.99926,0.01473,3.6852
